DATASET_YR	REPRJ_ID	INUN_ID	FT_N	PT_N	TOT_N	UG_FT_N	UG_PT_N	UG_TOT_N	FT_DEG_P	UG_RATIO	GRAD_STUD	FT_MEN_N	FT_WMN_N	PT_MEN_N	PT_WMN_N	TOT_MEN_N	TOT_WMN_N	FT_DEG_TERM_N	PT_DEG_TERM_N	TOT_DEG_TERM_N	UG_RATIO_FAC_N	UG_RATIO_STUD_N
2018	12	5148	6	24	30					41.00		0	6	6	18	6	24				14	576
2018	12	5150	13	34	47					8.00		4	9	9	25	13	34				24	206
2018	12	5154	28	45	73					8.00		8	20	13	32	21	52	14	11	25	37	295
2018	12	5155	103	379	482					23.00		37	66	178	201	215	267				229	5229
2018	12	5160	2135	148	2283					22.00		1278	857	95	53	1373	910	1910	104	2014	2144	47229
2018	12	5161	273	19	292					14.00		113	160	10	9	123	169	216	11	227	265	3568
2018	12	5162	123	255	378					19.00		68	55	133	122	201	177	26	17	43	378	7557
2018	12	5163	18	20	38					22.00		9	9	10	10	19	19	4	3	7	38	626
2018	12	5164	43	14	57					14.00								42	5	47	48	659
2018	12	5167	505	206	711					17.00		237	268	71	135	308	403	348	16	364	573	9857
2018	12	5168	63	34	97					30.00		42	21	17	17	59	38	17	4	21		
2018	12	5169	367	256	623					19.00		186	181	99	157	285	338	257	34	291		
2018	12	5170	11	21	32					9.00		8	3	16	5	24	8	5	3	8	18	151
2018	12	5173	290	188	478					16.00		120	170	65	123	185	293				353	5570
2018	12	5174	14	30	44					10.00		6	8					14				
2018	12	5175								9.00												
2018	12	5177																				
2018	12	5178																				
2018	12	5181																				
2018	12	5184																				
2018	12	5186																				
2018	12	5187	18	128	146					12.00		15	3	76	52	91	55	12	49	61		
2018	12	5188	11	1	12					20.00												
2018	12	5189	94	110	204					13.00		60	34	50	60	110	94	73	32	105	123	1530
2018	12	5192								15.00												
2018	12	5193	174	218	392					12.00		85	89	93	125	178	214	129	66	195	229	2814
2018	12	5194								17.00												
2018	12	5196	31	110	141					17.00												
2018	12	5200	143	88	231					11.00		79	64	51	37	130	101	130	48	178	172	1926
2018	12	5201								7.00												
2018	12	5203	8	15	23					5.00		3	5	5	10	8	15	4			23	124
2018	12	5205			384																	
2018	12	5207																				
