DATASET_YR	REPRJ_ID	INUN_ID	ADMS	COUNSEL	SAT1_VERB_200_P	SAT1_VERB_300_P	SAT1_VERB_400_P	SAT1_VERB_500_P	SAT1_VERB_600_P	SAT1_VERB_700_P	SAT1_MATH_200_P	SAT1_MATH_300_P	SAT1_MATH_400_P	SAT1_MATH_500_P	SAT1_MATH_600_P	SAT1_MATH_700_P	ACT_1_P	ACT_2_P	ACT_3_P	ACT_4_P	ACT_5_P	ACT_6_P	SAT1_VERB_MEAN	SAT1_MATH_MEAN	ACT_MEAN	SAT1_VERB_670_800_P	SAT1_MATH_600_800_P	SUBMIT_P	SUBMIT_SAT1_P	SUBMIT_ACT_P	PLACE_ONLY	ADMS_PLACE	ADMS_COUNSEL	SAT1_VERB_25TH_P	SAT1_VERB_75TH_P	SAT1_MATH_25TH_P	SAT1_MATH_75TH_P	ACT_COMP_25TH_P	ACT_COMP_75TH_P	ACT_WRITING	SAT_NEW	SAT1_WRITING_200_P	SAT1_WRITING_300_P	SAT1_WRITING_400_P	SAT1_WRITING_500_P	SAT1_WRITING_600_P	SAT1_WRITING_700_P	SAT1_WRITING_25TH_P	SAT1_WRITING_75TH_P	SAT1_WRITING_MEAN	ESSAY_ADMIS_ACT	ESSAY_ADMIS_SAT	ESSAY_ADVISING_ACT	ESSAY_ADVISING_SAT	ESSAY_AP_SUBST_ACT	ESSAY_AP_SUBST_SAT	ESSAY_AP_VALID_ACT	ESSAY_AP_VALID_SAT	ESSAY_NO_ACT	ESSAY_NO_SAT	ESSAY_NO_POLICY_ACT	ESSAY_NO_POLICY_SAT	ESSAY_PLACE_ACT	ESSAY_PLACE_SAT	ADMS_OPTIONAL	SAT_ESSAY
2018	12	6559	Y		0.00	0.40	23.58	51.22	23.58	1.22	0.00	1.63	22.36	56.50	17.48	2.03	0.00	0.00	13.57	59.62	24.29	2.52	538	544	21				54.00	69.00				500.00	590.00	500.00	580.00	18.00	24.00	ACTB																			X							SATB
2018	12	6560	N																																																															
2018	12	6563	N																																																															
2018	12	6564	Y														0.00	0.41	59.59	36.73	2.86	0.41							0.00	91.00								16.00	19.00	ACTB																			X	X	X	X				SATB
2018	12	6570	N																																																															
2018	12	6571	Y		0.00	6.00	39.00	47.00	7.00	1.00	2.00	8.00	32.00	45.00	12.00	1.00	0.00	0.00	9.00	44.00	41.00	6.00	500	510	22				51.00	16.00				460.00	540.00	460.00	560.00	21.00	26.00	ACTB																						X			X	SATB
2018	12	6573	Y		0.00	0.00	0.00	1.42	11.37	87.21	0.00	0.00	0.00	0.80	11.54	87.66	0.00	0.00	0.00	0.11	6.64	93.25	760	760	34				67.00	53.00				730.00	790.00	730.00	800.00	32.00	35.00	ACTW											X	X	X	X									X	X		
2018	12	6575	Y					1.00	11.00	87.00	0.00	0.00	0.00	0.00	3.00	97.00	0.00	0.00	0.00	0.00	2.00	98.00							66.00	59.00				720.00	770.00	750.00	800.00	33.00	35.00	ACTB																			X	X						SATB
2018	12	6576	Y																										5.00	86.00								15.00	19.00																											
2018	12	6577	Y														0.00	0.00	2.00	52.00	41.00	5.00			23				11.00	92.00								20.00	26.00																											
2018	12	6578	Y		0.00	0.00	0.00	1.00	19.00	80.00	0.00	0.00	0.00	2.00	28.00	70.00	0.00	0.00	0.00	0.00	11.00	89.00	730	740	33				59.00	52.00				700.00	760.00	690.00	770.00	31.00	34.00	ACTB																			X	X						SATB
2018	12	6580	Y		0.00	0.00	19.00	52.00	26.00	3.00	0.00	2.00	25.00	50.00	21.00	2.00	0.00	0.00	10.00	49.00	39.00	2.00							61.00	42.00				510.00	608.00	490.00	590.00	20.00	25.00	ACTB																					X	X				SATB
2018	12	6581	Y														2.00	11.00	42.00	33.00	12.00	2.00							1.00	99.00								17.00	22.00	ACTB																			X	X						
2018	12	6582	N																																																															
2018	12	6583	N														0.00	1.00	44.00	49.00	6.00	0.00																																												
2018	12	6599	N																										1.00	99.00																																				
2018	12	6600	N																																																															
2018	12	6604	Y																										81.00																																					
2018	12	6612	Y														0.00	0.00	8.00	57.00	30.00	5.00			22				13.00	95.00								19.00	25.00	ACTB																					X	X				SATB
2018	12	6613	N																																																															
2018	12	6614	Y																																																								X	X						
2018	12	6615	Y																						23				70.00									19.00	25.00	ACTB																			X	X						SATB
2018	12	6617																																																																
2018	12	6618	N																																																															
2018	12	6619	Y														0.00	0.00	15.00	50.00	30.00	5.00			22				4.00	96.00								18.00	24.00	ACTB																			X	X						SATB
2018	12	6620	Y		0.00	0.00	5.26	28.95	35.53	30.26	0.00	0.00	9.21	32.89	31.58	26.32	0.32	0.00	0.00	17.80	46.28	35.60							22.00	91.00				560.00	710.00	540.00	700.00	24.00	29.00	ACTB													X	X									X	X		SATB
2018	12	6622	N																																																															
2018	12	6623	N																																																															
2018	12	6625																																																																
2018	12	6626	N																																																															
2018	12	6627	N																																																								X	X	X	X				
2018	12	6628																																																																
2018	12	6630	Y		0.00	3.00	43.00	24.00	27.00	3.00	0.00	0.00	37.00	33.00	27.00	3.00	0.00	0.00	14.00	63.00	22.00	1.00	535	540	21				21.00	79.00				460.00	600.00	480.00	600.00	18.00	23.00	ACTB													X	X												SATB
2018	12	6631	N																																																															
2018	12	6632	N																																																															
2018	12	6633	N																																																															
2018	12	6635	N																																																															
2018	12	6636	Y		0.00	0.00	10.00	53.00	33.00	3.00	0.00	1.00	12.00	51.00	32.00	5.00	0.00	0.00	4.00	46.00	42.00	8.00	576	573	24				68.00	53.00				530.00	620.00	520.00	620.00	21.00	27.00	ACTW																					X	X			X	SATW
2018	12	6637	Y		0.00	11.00	29.00	48.00	12.00	0.00	1.00	8.00	32.00	45.00	14.00	0.00	0.00	4.00	5.00	59.00	23.00	9.00	520	498	22				43.00	13.00				450.00	560.00	440.00	540.00	18.00	26.00	ACTB																			X	X					X	SATB
2018	12	6639																																																																
2018	12	6640	N																																																															
2018	12	6641	Y		0.00	0.00	0.00	6.60	44.90	48.50	0.00	0.00	0.00	16.80	50.90	32.30	0.00	0.00	0.00	1.10	32.90	66.10	689	661	30				51.00	76.00				660.00	730.00	620.00	710.00	28.00	32.00	ACTB																			X	X						SATB
2018	12	6642	Y																						20				9.00	83.00																																				
2018	12	6643	N																																																															
2018	12	6644	Y		0.00	2.00	33.00	36.00	18.00	11.00	0.00	5.00	33.00	38.00	20.00	4.00	0.00	0.00	19.00	51.00	23.00	7.00	550	531	22				21.00	68.00				480.00	610.00	460.00	590.00	18.00	24.00	ACTB																			X	X					X	SATB
2018	12	6645	Y														0.00	1.00	36.00	48.00	14.00	1.00							10.00	92.00																																				
2018	12	6646	Y																						28				27.00	23.00								26.00	30.00	ACTB											X	X														SATB
2018	12	6647	Y																																					ACTW													X	X									X	X		
2018	12	6649	N																																																															
2018	12	6650	Y		0.00	0.00	3.00	36.00	51.00	10.00	0.00	0.00	3.00	41.00	45.00	11.00	0.00	0.00	0.00	20.00	60.00	20.00	614	608	27				66.00	33.00				570.00	660.00	560.00	650.00	24.00	29.00	ACTC																	X	X							X	SATC
2018	12	6651	Y		0.00	0.00	1.00	28.00	54.00	16.00	0.00	0.00	8.00	61.00	27.00	4.00	0.00	0.00	3.00	31.00	50.00	16.00	630	560	26				75.00	38.00				580.00	680.00	530.00	615.00	23.00	28.00	ACTB																			X	X	X	X				SATB
2018	12	6652	N																																																															
2018	12	6653	Y																																																															
2018	12	6654	Y																						22				66.90	50.40								18.00	24.00	ACTC																			X	X						SATC
2018	12	6657	Y																										95.00											ACTB																					X	X	X	X		SATB
2018	12	6658	Y																										81.00	31.00								17.00	22.00	ACTB																			X	X						
2018	12	6659	N																																																															
2018	12	6660	N																																																															
2018	12	6664	N																																																															
2018	12	6666	Y		0.00	0.00	6.30	38.30	44.80	10.60	0.00	1.10	7.40	40.30	41.30	9.90	0.00	0.00	0.10	24.40	53.40	22.10							56.00	67.00				550.00	660.00	540.00	660.00	24.00	29.00	ACTB																			X	X	X	X				SATB
2018	12	6667	N																																																															
2018	12	6668	N																																																															
2018	12	6669	Y														0.00	0.00	10.64	27.66	50.00	11.70			24				83.00	38.10								21.00	28.00	ACTB													X	X									X	X	X	SATB
2018	12	6670	N																																																															
2018	12	6671	Y		0.00	0.00	15.00	59.00	24.00	2.00	0.00	0.00	11.00	66.00	21.00	2.00	0.00	0.00	4.00	53.00	38.00	5.00	500	538	23				75.00	29.00				510.00	600.00	520.00	590.00	20.00	25.00	ACTB																			X	X	X					SATB
2018	12	6672	N																																																															
2018	12	6674																																																			X	X									X	X		
2018	12	6675	Y																										6.30	1.50										ACTB																			X	X						SATB
2018	12	6676	Y																				512	513	21				40.00	60.00										ACTB																			X	X						SATB
2018	12	6677	Y														0.00	0.00	1.70	50.80	38.60	8.90			24				71.40	49.90								21.00	27.00	ACTW											X	X											X	X		SATW
2018	12	6678	N																																																															
2018	12	6679	N																																																															
2018	12	6680	N																																																															
2018	12	6682	Y		0.00	1.09	16.30	30.43	48.90	3.26	0.00	0.00	18.50	52.20	25.00	4.40	0.63	0.42	20.84	47.16	26.74	4.21	545	523	21				89.00	39.00				490.00	600.00	470.00	570.00	18.00	25.00	ACTB																			X	X						SATB
2018	12	6683	N																																																															
2018	12	6684	Y		0.00	2.00	25.00	48.00	22.00	3.00	0.00	1.00	21.00	59.00	19.00	0.00	0.00	0.00	10.00	62.00	27.00	1.00	548	543	22				21.00	91.00				490.00	595.00	500.00	580.00	19.00	24.00	ACTB																			X	X						SATB
2018	12	6685	Y														0.00	0.00	15.00	46.00	35.00	4.00			24				73.00	54.00								18.00	25.00	ACTB																			X	X						
2018	12	6686	N																																																															
2018	12	6689	Y																										2.10											ACTB											X	X													X	SATB
2018	12	6690	N																																																								X	X						
2018	12	6691	Y														0.00	0.00	32.00	55.00	13.00	0.00			20				96.00	6.00								17.00	23.00	ACTB																			X	X						SATB
2018	12	6692	Y																										74.00	37.00				420.00	530.00	420.00	520.00	16.00	20.00	ACTB																					X	X				SATB
2018	12	6693	N																																																															
2018	12	6695																																																																
2018	12	6696	Y		0.40	5.70	34.30	40.40	16.30	3.00	0.20	11.20	32.90	39.00	14.00	2.70	0.00	0.00	20.30	48.10	24.90	6.80							73.50	51.00						440.00	560.00	18.00	25.00	ACTB																			X	X						SATB
2018	12	6699	Y														0.00	0.00	10.00	54.00	30.00	6.00								100.00								20.00	25.00	ACTW											X	X	X	X									X	X		SATW
2018	12	6700	N																																																															
2018	12	6701	Y		0.00	13.33	20.00	33.33	33.33	0.00	0.00	0.00	13.33	60.00	20.00	6.67	0.00	0.00	11.50	53.50	31.00	4.00							6.00	88.00				470.00	610.00	510.00	620.00	19.00	25.00	ACTB																					X	X				SATB
2018	12	6707	N																																																															
2018	12	6708	N																																																															
2018	12	6709	N																																																															
2018	12	6711	Y														0.00	0.00	0.00	8.69	58.82	32.49			28				31.00	75.00								25.00	30.00	ACTB													X	X			X	X					X	X		
2018	12	6712																																																																
2018	12	6713	Y														0.00	0.00	0.60	54.70	34.10	10.50			23				3.00	98.00								21.00	26.00	ACTB																			X	X	X	X				SATB
2018	12	6716	Y																																																															
2018	12	6717	Y														0.00	0.00	0.00	21.00	59.00	20.00								91.00								25.00	29.00	ACTB																			X	X						SATB
2018	12	6718	Y		0.00	2.60	27.00	44.10	23.70	2.60	0.00	3.90	31.60	48.00	15.80	0.70	0.00	0.00	26.30	52.60	18.40	2.60							77.00	19.00				480.00	600.00	470.00	570.00	17.30	23.00	ACTB													X	X									X	X	X	SATB
2018	12	6721	N																																																															
2018	12	6722	Y		0.00	2.00	34.00	51.00	13.00	0.00	0.00	3.00	39.00	48.00	10.00	0.00	0.00	0.00	25.00	52.00	20.00	2.00	523	511	20				85.00	37.00				480.00	570.00	460.00	550.00	17.00	23.00	ACTB																							X	X		SATB
2018	12	6723	N																																																															
2018	12	6724	Y																																																															
2018	12	6725	Y														0.00	0.00	10.00	47.00	35.00	8.00							78.00	57.00								20.00	26.00	ACTB											X	X											X	X		
2018	12	6728	Y		0.00	5.00	33.00	43.00	17.00	2.00	0.00	7.00	30.00	45.00	16.00	2.00	0.00	0.00	27.00	46.00	24.00	3.00	520	520	20				55.00	40.00				470.00	580.00	460.00	570.00	17.00	23.00	ACTB													X	X									X	X		SATB
2018	12	6730	Y		0.16	4.05	40.31	42.08	12.15	1.25	0.36	9.30	39.17	40.36	9.87	0.94	0.00	0.34	33.47	44.61	19.37	2.21	511	496	20				72.00	44.00				460.00	560.00	440.00	550.00	17.00	23.00	ACTB																			X	X						SATB
2018	12	6731	Y		0.00	0.99	27.21	49.55	20.36	1.89	0.08	1.57	27.29	53.83	15.25	1.98	0.00	0.00	12.25	51.83	31.80	4.12	540	533	22				70.00	49.00				490.00	590.00	480.00	580.00	19.00	25.00	ACTC													X	X												SATB
2018	12	6732	Y		0.00	0.10	3.80	31.80	50.00	14.30	0.00	0.13	3.76	32.63	43.15	20.33	0.00	0.00	0.90	15.80	47.40	35.90	620	626	28				66.70	67.40				570.00	670.00	570.00	680.00	25.00	31.00	ACTB																								X		SATB
2018	12	6733	Y		0.00	0.90	31.50	53.60	12.90	1.10	0.00	2.95	34.07	52.12	9.94	0.92	0.00	0.00	27.60	55.30	16.30	0.80	527	515	20				90.00	20.00				480.00	570.00	470.00	550.00	17.00	22.00	ACTC																					X	X	X	X		SATB
2018	12	6734	Y		0.00	1.80	35.90	45.40	15.40	1.50	0.00	4.20	39.90	44.90	10.30	0.70	0.00	0.40	19.90	53.00	24.20	2.50	524	509	21				83.20	28.60				470.00	570.00	460.00	550.00	18.00	24.00	ACTB																										SATB
2018	12	6735	Y		0.00	0.70	38.00	46.70	13.90	0.70	0.00	4.40	35.40	49.60	9.50	1.10	0.00	0.00	18.10	59.10	21.05	1.75	521	510	21				69.00	43.00				470.00	570.00	470.00	548.00	18.00	23.00	ACTB																					X	X				SATB
2018	12	6736	Y		0.20	3.10	44.30	41.00	10.30	1.10	0.44	9.21	43.64	37.94	7.67	1.10	0.00	0.00	26.03	55.71	15.52	2.74	506	509	20				75.00	36.00				450.00	553.00	440.00	540.00	17.00	22.00	ACTB																			X	X	X	X				SATB
2018	12	6737	Y		0.05	5.26	35.93	44.57	13.64	0.56	0.15	7.88	40.37	43.25	8.10	0.25							516	501					85.00					460.00	560.00	450.00	540.00			ACTB																			X	X						SATB
2018	12	6740	Y														0.00	0.00	12.00	53.00	27.00	8.00			22				88.00	36.00								19.00	25.00	ACTB																							X	X		
2018	12	6741	Y		0.00	1.10	20.70	49.60	25.20	3.40	0.00	1.82	23.12	50.95	20.51	3.60	0.00	0.00	12.90	42.90	36.80	7.40	554	546	23				85.00	46.00				500.00	600.00	500.00	590.00	19.00	26.00	ACTB												X		X										X		SATB
2018	12	6742	Y		0.20	2.10	29.20	51.10	15.90	1.50	0.00	6.50	29.40	54.50	8.80	0.80	0.00	0.00	28.60	52.16	17.16	2.08	530	509	20				52.00	62.00				480.00	570.00	470.00	550.00	17.00	22.00	ACTC											X	X														SATC
2018	12	6744																																																																
2018	12	6745																																																																
2018	12	6746																																																																
2018	12	6747																																																																
2018	12	6748																																																																
2018	12	6749																																																																
2018	12	6750																																																																
2018	12	6751																																																																
2018	12	6752																																																																
2018	12	6753																																																																
2018	12	6754																																																																
2018	12	6755																																																																
2018	12	6756																																																																
2018	12	6758	N																																																															
2018	12	6759	N																																																															
2018	12	6763																																																																
2018	12	6769	N																																																															
2018	12	6777	N																																																															
2018	12	6781	Y																										100.00	0.00																																				
2018	12	6782	Y																										100.00	0.00																																				
2018	12	6783	Y																										100.00	0.00																																				
2018	12	6784	Y																										100.00	0.00																																				
2018	12	6785	Y																										100.00	0.00																																				
2018	12	6786	Y																										100.00	0.00																																				
2018	12	6787	Y																										100.00	0.00																																				
2018	12	6789	Y																										100.00	0.00																																				
2018	12	6791	Y																										100.00	0.00																																				
2018	12	6793	Y																										100.00	0.00																																				
2018	12	6794	Y																										100.00	0.00																																				
2018	12	6795	Y																										100.00	0.00																																				
2018	12	6796	Y																										100.00	0.00																																				
2018	12	6798	Y																										100.00	0.00																																				
2018	12	6799	Y																										100.00	0.00																																				
2018	12	6800	Y																										100.00	0.00																																				
2018	12	6801	Y																										100.00	0.00																																				
2018	12	6802	Y																										100.00	0.00																																				
2018	12	6803	Y																										100.00	0.00																																				
2018	12	6804	Y																										100.00	0.00																																				
2018	12	6805	Y																										100.00	0.00																																				
2018	12	6806	Y																										100.00	0.00																																				
2018	12	6807	Y																										100.00	0.00																																				
2018	12	6808	Y																																					ACTW											X	X														
2018	12	6809	Y																																																															
2018	12	6810	Y																																																															
2018	12	6811	Y																																																															
2018	12	6812	Y																																																															
2018	12	6813	Y																																																															
2018	12	6814	Y																																																															
2018	12	6815	Y																																																															
2018	12	6816	Y																																																															
2018	12	6821	N																																																															
2018	12	6825	N																																																															
2018	12	6826	N																																																															
2018	12	6828																																																																
2018	12	6829																																																																
2018	12	6830	N																																																															
2018	12	6842	N																																																															
2018	12	6844	N																																																															
2018	12	6846	Y		0.00	1.00	24.00	51.00	24.00	1.00	0.00	2.00	30.00	47.00	19.00	1.00	0.00	0.00	6.00	51.00	37.00	6.00	547	532	23				78.00	22.00				500.00	590.00	480.00	590.00	20.00	25.00	ACTB																			X	X	X	X				SATB
2018	12	6848	N																																																															
2018	12	6850	N																											100.00																																				
2018	12	6852	Y		0.00	1.00	16.00	37.00	35.00	11.00	0.00	1.00	10.00	30.00	42.00	18.00	0.00	0.00	3.00	34.00	46.00	17.00	582	614	25				9.00	90.00						545.00	680.00	22.00	28.00	ACTB																			X	X						SATB
2018	12	6854	Y														0.00	0.00	12.85	60.00	27.15	0.00			21				6.00	94.00								18.00	24.00	ACTB													X	X												
2018	12	6856	N																																																															
2018	12	6858	N																																																															
2018	12	6859																																																																
2018	12	6861	N																																																															
2018	12	6862	N																																																															
2018	12	6893	Y		0.00	0.00	1.80	27.40	56.10	14.70	0.00	0.10	3.00	43.80	43.60	9.50	0.00	0.00	0.70	14.20	61.80	23.30	628	605	27				51.90	26.40				590.00	670.00	560.00	660.00	25.00	29.00	ACTB																					X	X			X	SATB
2018	12	6907																																						ACTC																										
2018	12	6909	Y																																					ACTB																										
2018	12	6910	Y														0.00	0.00	34.00	54.00	11.00	1.00			17				11.00	89.00								17.00	21.00	ACTB																			X	X						
2018	12	6911	Y																																																															
2018	12	6912	Y														0.00	0.00	4.23	50.53	37.27	7.97			23				11.00	93.00								20.00	26.00	ACTB																			X	X						SATB
2018	12	6913	Y		0.00	4.00	29.00	51.00	16.00	0.00	0.00	11.00	36.00	36.00	18.00	0.00	0.00	0.00	8.00	40.00	45.00	7.00	515	526	24				8.00	26.00				458.00	563.00	470.00	590.00	21.00	27.00	ACTB											X	X	X	X									X	X	X	SATB
2018	12	6914	N																																																															
2018	12	6915	Y		0.00	0.05	3.79	44.66	46.21	5.29	0.00	0.15	6.03	53.44	36.61	3.76	0.00	0.00	1.47	31.80	56.05	10.68							87.00	35.00				560.00	640.00	540.00	620.00	23.00	28.00																				X	X						
2018	12	6916	N																																																															
2018	12	6917	N																																																															
2018	12	6918	Y		0.00	0.00	50.00	38.00	8.00	4.00	0.00	0.00	34.00	58.00	8.00	0.00	0.00	0.00	9.00	59.00	30.00	3.00			23				10.00	82.00								19.00	24.00	ACTB																			X	X						SATB
2018	12	6919	N																																																															
2018	12	6920	Y														0.00	7.00	72.00	20.00	1.00	0.00			15				35.00	36.00								13.00	17.00	ACTB																			X	X	X	X				
2018	12	6921	N																																			17.00	23.00																											
2018	12	6923																																																																
2018	12	6924																																																																
2018	12	6926	N																																																															
2018	12	6927	N																																																								X	X						
2018	12	6928	Y		0.00	10.00	48.00	32.00	9.00	1.00	0.00	8.00	47.00	37.00	7.00	1.00							488	490					90.00					430.00	540.00	440.00	540.00			ACTC																					X	X				SATC
2018	12	6930																											0.00	0.00																																				
2018	12	6931	Y														0.00	0.00	0.00	0.00	39.00	61.00			29				78.00	39.00								27.00	32.00																											
2018	12	6932	N																																																															
2018	12	6934	Y																																					ACTB																										
2018	12	6935	N																										0.00	100.00																																				
2018	12	6936	N																										0.00	0.00																																				
2018	12	6937	Y		0.00	1.58	9.52	25.40	42.86	20.64	0.00	1.58	6.35	49.21	34.92	7.94	0.00	0.34	0.70	23.43	51.40	24.13							19.00	87.00				550.00	680.00	530.00	630.00	24.00	29.00																				X	X						
2018	12	6938	Y		0.00	0.37	20.90	66.42	11.94	0.37	0.00	0.37	31.09	56.18	10.86	1.50	0.00	0.00	1.92	37.28	47.68	13.12	536	530	25				35.00	83.00				510.00	570.00	490.00	570.00	22.00	27.00	ACTC																					X	X				SATB
2018	12	6939	Y																																																															
2018	12	6940																																																																
2018	12	6942	Y																																																										X					
2018	12	6943	Y		0.00	0.00	0.00	1.06	11.50	87.43	0.00	0.00	0.00	0.71	11.86	87.43	0.00	0.00	0.00	0.13	2.44	97.43							42.00	58.00				720.00	780.00	740.00	800.00	33.00	35.00	ACTB																					X	X				SATB
2018	12	6944																																						ACTB																										
2018	12	6946	Y																										11.00											ACTB																										
2018	12	6947	Y																										16.00											ACTB																										
2018	12	6948																																																																
2018	12	6949	Y		0.00	2.00	18.80	41.70	29.20	8.30	0.00	0.00	29.80	40.40	26.30	3.50	0.00	0.00	10.70	55.40	29.80	4.10							36.00	77.00				500.00	620.00	480.00	620.00	19.00	25.00	ACTB																										SATB
2018	12	6950	N																																																															
2018	12	6951	Y		8.00	35.00	38.00	15.00	0.00	4.00	0.00	42.00	46.00	12.00	0.00	0.00	0.00	7.00	57.00	32.00	4.00	0.00							67.00	54.00								15.00	19.00	ACTB																			X	X						SATB
2018	12	6952	Y																																																															
2018	12	6953	N																						21				80.00	20.00																														X						
2018	12	6954	Y																																																															
2018	12	6955	N																																																															
2018	12	6957	N														0.00	0.00	33.00	50.00	16.00	1.00			19				0.00	30.00								17.00	22.00																				X	X						
2018	12	6958	N																																																															
2018	12	6961	Y																										0.00	100.00																																				
2018	12	6963	N																																																															
2018	12	6966	Y														0.00	0.00	5.00	62.00	30.00	3.00			22				6.00	94.00								19.00	25.00	ACTB																			X	X						SATB
2018	12	6967	Y		0.00	9.00	38.00	28.00	23.00	2.00	0.00	7.00	38.00	36.00	17.00	2.00	0.00	0.00	16.00	48.00	33.00	3.00	521	515	22				28.00	82.00				430.00	580.00	430.00	580.00	19.00	25.00	ACTB																			X	X	X	X				SATB
2018	12	6968	Y																																					ACTC																					X	X				SATC
2018	12	6969	N																																																															
2018	12	6970	Y		0.00	0.00	7.00	44.00	40.00	9.00	0.00	0.00	6.00	45.00	41.00	8.00	0.00	0.00	3.00	30.00	48.00	19.00	597	590					63.00	19.00				540.00	650.00	540.00	640.00	22.00	29.00	ACTB																					X	X				
2018	12	6973	Y		0.00	0.60	2.41	21.69	54.22	21.08	0.00	0.60	4.21	24.70	48.80	21.69	0.00	0.00	0.52	12.70	55.03	31.75	642	634	28				39.00	42.00								26.00	30.00	ACTB																					X	X			X	SATB
2018	12	6974	N																																																															
2018	12	6975	N														0.00	0.00	34.80	52.50	12.70	0.00																															X													
2018	12	6978	Y		0.00	0.00	3.00	50.00	38.00	9.00	0.00	0.00	28.00	41.00	31.00	0.00	0.00	0.00	11.00	40.00	38.00	11.00							17.00	86.00				550.00	660.00	470.00	630.00	20.00	27.00	ACTB																			X	X						SATB
2018	12	6981																																																																
2018	12	6983	Y		0.00	0.00	9.09	45.45	45.46	0.00	0.00	0.00	27.27	9.09	63.64	0.00	0.00	0.00	7.11	57.87	27.92	7.10			23				5.00	93.00				530.00	650.00	460.00	640.00	19.00	25.00	ACTB																										SATB
2018	12	6985	Y														0.00	0.00	3.00	38.00	43.00	16.00			24				1.00	94.00								22.00	28.00	ACTB																									X	SATB
2018	12	6987	Y																				520	520	21				33.00	67.00				470.00	550.00	470.00	550.00	18.00	23.00	ACTB																			X	X						SATB
2018	12	6988	Y																																					ACTB																			X	X						
2018	12	6996	Y		0.00	6.00	47.00	40.00	7.00	0.00	0.00	9.00	44.00	41.00	6.00	0.00	0.00	1.00	40.00	44.00	14.00	1.00							70.00	13.00				440.00	540.00	440.00	530.00	16.00	22.00	ACTB													X	X												SATB
2018	12	6997	Y		0.00	0.00	20.00	70.00	10.00	0.00	0.00	0.00	20.00	60.00	20.00	0.00	0.00	0.00	10.01	51.24	32.39	6.36							1.00	94.00				510.00	555.00	525.00	588.00	19.00	25.00	ACTB																			X	X						SATB
2018	12	6998	N																																																															
2018	12	6999	N																																																															
2018	12	7000	N																																																															
2018	12	7001	N																																																															
2018	12	7002	N																																																															
2018	12	7003	N																																																															
2018	12	7005	Y		0.00	2.00	29.00	51.00	17.00	1.00	0.50	4.00	35.00	50.00	10.00	0.50	0.00	0.00	20.00	51.00	25.00	4.00	530	513	21				94.00	10.00				480.00	580.00	450.00	560.00	18.00	24.00	ACTB											X	X													X	SATB
2018	12	7006	N																																																															
2018	12	7007	Y																																					ACTB																										
2018	12	7013	N																																																															
2018	12	7015	Y														0.00	0.00	9.00	54.00	37.00	0.00							0.00	100.00								17.00	24.00	ACTB																					X	X				
2018	12	7016	Y																						19					60.00										ACTB																			X	X						
2018	12	7018	Y																																																															
2018	12	7019	Y		0.00	0.00	3.00	54.00	39.00	4.00	0.00	0.00	4.00	63.00	29.00	4.00	0.00	0.00	2.00	53.00	38.00	7.00							45.00	50.00				550.00	630.00	530.00	610.00	21.00	26.00	ACTB																			X	X						SATB
2018	12	7021	Y		0.00	0.12	11.14	52.37	31.14	5.23	0.00	0.34	16.82	55.44	23.40	4.00	0.00	0.00	1.20	58.08	34.52	6.20			23				20.00	87.00								21.00	25.00	ACTB																			X	X						SATB
2018	12	7022	Y		0.00	0.00	16.66	50.00	16.67	16.67	0.00	0.00	50.00	50.00	0.00	0.00	0.00	0.00	36.11	53.48	9.02	1.39			19				3.00	62.00								16.00	21.00	ACTB																			X	X						SATB
2018	12	7023	Y														0.00	0.00	17.24	75.86	6.90	0.00			20				0.00	47.00								18.00	22.00	ACTB																			X	X						SATB
2018	12	7024	Y		0.00	0.00	40.00	46.67	13.33	0.00	0.00	7.14	35.72	57.14	0.00	0.00	0.00	0.00	29.81	59.64	10.55	0.00			19				5.00	85.00				470.00	560.00	440.00	520.00	17.00	21.00	ACTB																			X	X						SATB
2018	12	7025	Y		0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.80	30.10	56.10	13.00	0.00			19				1.00	71.00								17.00	21.00	ACTB																			X	X						SATB
2018	12	7026	Y		0.00	6.67	33.33	40.00	20.00	0.00	0.00	6.67	40.00	46.66	6.67	0.00	0.00	0.00	24.14	58.56	15.50	1.80			20				2.00	96.00								18.00	22.00	ACTB																			X	X						SATB
2018	12	7027	Y		0.00	25.00	25.00	50.00	0.00	0.00	0.00	25.00	25.00	50.00	0.00	0.00	0.00	0.59	31.76	58.24	9.41	0.00			19				2.00	69.00								17.00	21.00	ACTB																			X	X						SATB
2018	12	7028	Y		0.00	0.00	100.00	0.00	0.00	0.00	25.00	0.00	75.00	0.00	0.00	0.00	0.00	0.00	24.43	59.54	14.50	1.53			20				0.00	91.00								18.00	22.00	ACTB																			X	X						SATB
2018	12	7030	Y														0.00	0.00	7.00	71.00	20.00	2.00			20				15.00	89.00								18.00	23.00	ACTC																			X	X	X	X				
2018	12	7032	Y		0.00	0.00	100.00	0.00	0.00	0.00	2.00	22.00	46.00	29.00	2.00		0.00	0.30	43.80	46.80	8.80	0.30			19				21.00	95.00								17.00	21.00	ACTB												X												X	X	SATW
2018	12	7033	Y																						21				20.00	88.00								19.00	25.00	ACTB																			X	X						
