DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5292	S1A	D								X	
2018	12	5292	S1S2A	D								X	
2018	12	5292	SAT2	D								X	
2018	12	5293	S1A	D		X							
2018	12	5295	OTHT	D	X						entrance exam		
2018	12	5296	OTHT	D	X						ACCUPLACER, ACT Compass, ACT ASSET		
2018	12	5296	S1A	D		X							
2018	12	5297	OTHT	D	X						ACT ASSET		
2018	12	5297	S1S2A	D		X							
2018	12	5298	S1A	D	X								
2018	12	5300	S1A	D	X								
2018	12	5303	S1A	D	X								
2018	12	5304	S1A	D	X								
2018	12	5308	S1A	D	X								
2018	12	5310	S1A	D	X								
2018	12	5312	ACT	D								X	
2018	12	5312	S1A	D			X						
2018	12	5312	S1S2A	D								X	
2018	12	5312	SAT1	D								X	
2018	12	5312	SAT2	D								X	
2018	12	5315	S1A	D	X								
2018	12	5317	S1A	D	X								
2018	12	5319	S1A	D	X								
2018	12	5319	S1S2A	D								X	
2018	12	5319	SAT2	D								X	
2018	12	5320	ACT	D								X	
2018	12	5320	OTHT	D								X	
2018	12	5320	S1A	D								X	
2018	12	5320	S1S2A	D								X	
2018	12	5320	SAT1	D								X	
2018	12	5320	SAT2	D								X	
2018	12	5321	ACT	D								X	
2018	12	5321	OTHT	D	X						TOEFL or IELTS is required for non-native English speakers		
2018	12	5321	S1A	D	X								
2018	12	5321	S1S2A	D								X	
2018	12	5321	SAT1	D								X	
2018	12	5321	SAT2	D								X	
2018	12	5322	S1A	D	X								
2018	12	5327	S1A	D								X	
2018	12	5328	S1A	D								X	
2018	12	5329	S1A	D								X	
2018	12	5333	S1A	D	X								
2018	12	5336	S1A	D			X						
2018	12	5337	S1A	D	X								
2018	12	5338	OTHT	D			X				TOEFL/IELTS		
2018	12	5338	S1A	D	X								
2018	12	5339	S1A	D	X								
2018	12	5340	ACT	D		X							
2018	12	5340	S1A	D	X								
2018	12	5343	S1A	D	X								
2018	12	5344	S1A	D		X						X	
2018	12	5344	S1S2A	D								X	
2018	12	5344	SAT2	D		X						X	
2018	12	5345	S1A	D	X								
2018	12	5346	S1A	D		X							
2018	12	5356	SAT1	D		X							
2018	12	5359	S1A	D	X								
2018	12	5360	OTHT	D			X				TOEFL for international students		
2018	12	5360	S1A	D		X							
2018	12	5366	S1A	D	X								
2018	12	5367	S1A	D		X							
2018	12	5368	S1A	D		X						X	
2018	12	5369	S1A	D			X						
2018	12	5371	ACT	D								X	
2018	12	5371	S1A	D								X	
2018	12	5371	S1S2A	D								X	
2018	12	5371	SAT1	D								X	
2018	12	5371	SAT2	D								X	
2018	12	5372	ACT	D		X							
2018	12	5372	OTHT	D							ACT Compass, ACCUPLACER	X	
2018	12	5372	S1A	D								X	
2018	12	5372	S1S2A	D								X	
2018	12	5372	SAT1	D								X	
2018	12	5372	SAT2	D									X
2018	12	5373	S1A	D	X								
2018	12	5378	S1A	D	X								
2018	12	5379	OTHT	D			X				ACT, ACT ASSET, or SAT		
2018	12	5380	OTHT	D	X						ACT Compass		
2018	12	5380	S1A	D		X							
2018	12	5383	S1A	D	X								
2018	12	5386	S1A	D	X								
2018	12	5387	S1A	D	X								
2018	12	5388	S1A	D	X								
2018	12	5389	S1A	D	X								
2018	12	5391	S1A	D	X								
2018	12	5393	OTHT	D	X						College Preparedness Test		
2018	12	5395	S1A	D	X								
2018	12	5399	S1A	D	X								
2018	12	5400	S1A	D			X						
2018	12	5403	OTHT	D	X						Boricua College Exam		
2018	12	5407	S1A	D	X								
2018	12	5410	S1A	D			X						
2018	12	5410	SAT2	D			X					X	
2018	12	5411	S1A	D								X	
2018	12	5411	S1S2A	D								X	
2018	12	5411	SAT2	D								X	
2018	12	5412	S1A	D	X								
2018	12	5414	S1A	D	X								
